miRNA	Gene	Input
gga-miR-190a-3p	CUX1	-1
gga-miR-190a-3p	RYBP	-1
gga-miR-190a-3p	SLC35F5	-1
gga-miR-190a-3p	TCF3	-1
gga-miR-190a-3p	PCBP3	-1
gga-miR-190a-3p	TMOD2	-1
gga-miR-190a-3p	FAM46A	-1
gga-miR-190a-3p	GPCPD1	-1
gga-miR-190a-3p	FYN	-1
gga-miR-190a-3p	TNRC6B	-1
gga-miR-190a-3p	TBC1D4	-1
gga-miR-190a-3p	BHLHE40	-1
gga-miR-190a-3p	DNM1	-1
gga-miR-190a-3p	MSI2	-1
gga-miR-190a-3p	UBR3	-1
gga-miR-190a-3p	ARHGEF11	-1
gga-miR-190a-3p	SLC1A6	-1
gga-miR-190a-3p	KLF7	-1
gga-miR-190a-3p	ID2	-1
gga-miR-190a-3p	DPH6	-1
gga-miR-190a-3p	UNK	-1
gga-miR-190a-3p	TMCC1	-1
gga-miR-190a-3p	STRIP1	-1
gga-miR-190a-3p	ASIC1	-1
gga-miR-190a-3p	ARL8A	-1
gga-miR-190a-3p	ZBTB34	-1
gga-miR-190a-3p	CACNA1B	-1
gga-miR-190a-3p	KCNJ6	-1
gga-miR-190a-3p	ZNF618	-1
gga-miR-190a-3p	FAM105A	-1
gga-miR-190a-3p	GFOD1	-1
gga-miR-190a-3p	FIGN	-1
gga-miR-190a-3p	SLC5A7	-1
gga-miR-190a-3p	WWC3	-1
gga-miR-190a-3p	LARGE1	-1
gga-miR-190a-3p	CELF6	-1
gga-miR-190a-3p	PHEX	-1
gga-miR-190a-3p	ANP32A	-1
gga-miR-190a-3p	FGFR3	-1
gga-miR-190a-3p	CLVS1	-1
gga-miR-190a-3p	ANKRD27	-1
gga-miR-190a-3p	RER1	-1
gga-miR-190a-3p	CDK14	-1
gga-miR-190a-3p	COMMD10	-1
gga-miR-190a-3p	PROX1	-1
gga-miR-190a-3p	NR4A3	-1
gga-miR-190a-3p	WWP1	-1
gga-miR-190a-3p	UBTD2	-1
gga-miR-190a-3p	C1QTNF6	-1
gga-miR-190a-3p	RTN4	-1
gga-miR-190a-3p	SLC10A7	-1
gga-miR-190a-3p	FAM46D	-1
gga-miR-190a-3p	FOXP1	-1
gga-miR-190a-3p	SPPL3	-1
gga-miR-190a-3p	PATL1	-1
gga-miR-190a-3p	ELAVL4	-1
gga-miR-190a-3p	RNF44	-1
gga-miR-190a-3p	RAP1A	-1
gga-miR-190a-3p	MAPKAPK2	-1
gga-miR-190a-3p	ATP2B4	-1
gga-miR-190a-3p	LMLN	-1
gga-miR-190a-3p	PPP1R3D	-1
gga-miR-190a-3p	KCNH7	-1
gga-miR-190a-3p	KIF13A	-1
gga-miR-190a-3p	LARP4	-1
gga-miR-190a-3p	LYPD6	-1
gga-miR-190a-3p	NR3C1	-1
gga-miR-190a-3p	ARHGEF9	-1
gga-miR-190a-3p	SAMD4A	-1
gga-miR-190a-3p	KALRN	-1
gga-miR-190a-3p	LOC420419	-1
gga-miR-190a-3p	PRRX1	-1
gga-miR-190a-3p	THRB	-1
gga-miR-190a-3p	ZC3H12C	-1
gga-miR-190a-3p	LOC424491	-1
gga-miR-190a-3p	ARHGAP44	-1
gga-miR-190a-3p	NDRG4	-1
gga-miR-190a-3p	BLOC1S6	-1
gga-miR-190a-3p	UNC5D	-1
gga-miR-190a-3p	CTIF	-1
gga-miR-190a-3p	ZDHHC8	-1
gga-miR-190a-3p	SCN2B	-1
gga-miR-190a-3p	CASKIN1	-1
gga-miR-190a-3p	NPTN	-1
gga-miR-190a-3p	STAG2	-1
gga-miR-190a-3p	HOPX	-1
gga-miR-190a-3p	ZNF536	-1
gga-miR-190a-3p	CTNND1	-1
gga-miR-190a-3p	FRY	-1
gga-miR-190a-3p	PRKG1	-1
gga-miR-190a-3p	TCF7L2	-1
gga-miR-190a-3p	IQSEC1	-1
gga-miR-190a-3p	LRRFIP1	-1
gga-miR-190a-3p	CDKL5	-1
gga-miR-190a-3p	CLINT1	-1
gga-miR-190a-3p	EPS8	-1
gga-miR-190a-3p	NOTCH1	-1
gga-miR-190a-3p	SLC7A14	-1
gga-miR-190a-3p	FBXL14	-1
gga-miR-190a-3p	IL1B	-1
gga-miR-190a-3p	NET1	-1
gga-miR-190a-3p	PAIP1	-1
gga-miR-190a-3p	GRHL1	-1
gga-miR-190a-3p	COPS7A	-1
gga-miR-190a-3p	ZNF469	-1
gga-miR-190a-3p	LMO3	-1
gga-miR-190a-3p	NRXN3	-1
gga-miR-190a-3p	PRDM11	-1
gga-miR-190a-3p	BDNF	-1
gga-miR-190a-3p	RC3H2	-1
gga-miR-190a-3p	TNK2	-1
gga-miR-190a-3p	HIVEP1	-1
gga-miR-190a-3p	MARCH2	-1
gga-miR-190a-3p	IGSF9B	-1
gga-miR-190a-3p	EPHA5	-1
gga-miR-190a-3p	MALRD1	-1
gga-miR-190a-3p	FAM19A1	-1
gga-miR-190a-3p	RRBP1	-1
gga-miR-190a-3p	SLC16A7	-1
gga-miR-190a-3p	PRR16	-1
gga-miR-190a-3p	THAP1	-1
gga-miR-190a-3p	GPATCH3	-1
gga-miR-190a-3p	TFAP2D	-1
gga-miR-190a-3p	PHF6	-1
gga-miR-190a-3p	DSCAML1	-1
gga-miR-190a-3p	DUSP8	-1
gga-miR-190a-3p	EPB41L1	-1
gga-miR-190a-3p	BIN1	-1
gga-miR-190a-3p	GPR63	-1
gga-miR-190a-3p	SLC32A1	-1
gga-miR-190a-3p	SHOC2	-1
gga-miR-190a-3p	CZH18ORF25	-1
gga-miR-190a-3p	TMCC2	-1
gga-miR-190a-3p	DLG1	-1
gga-miR-190a-3p	FAM53B	-1
gga-miR-190a-3p	MAP4K5	-1
gga-miR-190a-3p	NTRK3	-1
gga-miR-190a-3p	FHIP2A	-1
gga-miR-190a-3p	FLI1	-1
gga-miR-190a-3p	WDR20	-1
gga-miR-190a-3p	ARHGAP21	-1
